date,close,volume,ticker
2025-02-03,238.78,7479648,SMH
2025-02-04,241.47,4579021,SMH
2025-02-05,247.14,4811115,SMH
2025-02-06,248.35,4877200,SMH
2025-02-07,245.0,7258908,SMH
2025-02-10,249.62,4231308,SMH
2025-02-11,249.87,3134879,SMH
2025-02-12,248.51,4212803,SMH
2025-02-13,251.92,4486146,SMH
2025-02-14,252.58,4279519,SMH
2025-02-18,256.22,6361446,SMH
2025-02-19,257.34,3025373,SMH
2025-02-20,257.8,4401707,SMH
2025-02-21,249.99,7578486,SMH
2025-02-24,243.42,7518002,SMH
2025-02-25,238.25,7658557,SMH
2025-02-26,243.82,6675886,SMH
2025-02-27,228.79,10520634,SMH
2025-02-28,232.77,8654651,SMH
2025-03-03,223.01,10001218,SMH
2025-03-04,225.23,12563101,SMH
2025-03-05,229.4,6799419,SMH
2025-03-06,219.78,9155207,SMH
2025-03-07,225.09,9426838,SMH
2025-03-10,214.53,9616473,SMH
2025-03-11,214.22,7381274,SMH
2025-03-12,220.52,8710844,SMH
2025-03-13,219.55,5126791,SMH
2025-03-14,226.57,5100693,SMH
2025-03-17,228.96,5192188,SMH
2025-03-18,225.42,5196659,SMH
2025-03-19,227.41,4932530,SMH
2025-03-20,227.05,3654700,SMH
2025-03-21,224.77,6319285,SMH
2025-03-24,230.63,6503200,SMH
2025-03-25,229.65,3451806,SMH
2025-03-26,222.01,9685704,SMH
2025-03-27,217.75,9072487,SMH
2025-03-28,212.17,8722097,SMH
2025-03-31,211.47,9477213,SMH
2025-04-01,212.49,6151300,SMH
2025-04-02,214.09,7096159,SMH
2025-04-03,195.57,14298993,SMH
2025-04-04,180.8,22160097,SMH
2025-04-07,184.9,25600318,SMH
2025-04-08,179.95,19097648,SMH
2025-04-09,210.83,22178514,SMH
2025-04-10,196.21,18282536,SMH
2025-04-11,201.31,10156256,SMH
2025-04-14,201.61,9843315,SMH
2025-04-15,202.92,5097847,SMH
2025-04-16,194.35,13067200,SMH
2025-04-17,192.53,7067351,SMH
2025-04-21,187.83,9572732,SMH
2025-04-22,191.9,7242693,SMH
2025-04-23,198.91,11495848,SMH
2025-04-24,208.97,9696207,SMH
2025-04-25,211.97,7487437,SMH
2025-04-28,210.65,5804925,SMH
2025-04-29,210.29,4506180,SMH
2025-04-30,211.28,5974393,SMH
2025-05-01,212.3,6878154,SMH
2025-05-02,219.03,6522174,SMH
2025-05-05,217.61,4536036,SMH
2025-05-06,215.59,5019386,SMH
2025-05-07,220.02,9074353,SMH
2025-05-08,221.95,5919181,SMH
2025-05-09,223.4,3495475,SMH
2025-05-12,237.41,9246912,SMH
2025-05-13,245.56,8665579,SMH
2025-05-14,247.99,7439569,SMH
2025-05-15,247.13,6446329,SMH
2025-05-16,246.42,3800074,SMH
2025-05-19,246.01,4196067,SMH
2025-05-20,245.54,3115165,SMH
2025-05-21,241.47,6392549,SMH
2025-05-22,240.81,5185483,SMH
2025-05-23,237.44,6577211,SMH
2025-05-27,244.97,8858899,SMH
2025-05-28,242.36,10739453,SMH
2025-05-29,244.08,9135620,SMH
2025-05-30,239.75,11064652,SMH
2025-06-02,243.3,4719859,SMH
2025-06-03,248.79,7518683,SMH
2025-06-04,251.75,7258713,SMH
2025-06-05,251.3,8057739,SMH
2025-06-06,252.73,5589747,SMH
2025-06-09,256.96,10841427,SMH
2025-06-10,262.07,9762982,SMH
2025-06-11,261.88,12285963,SMH
2025-06-12,263.15,6781903,SMH
2025-06-13,256.99,11950239,SMH
2025-06-16,263.38,7497747,SMH
2025-06-17,261.59,7284711,SMH
2025-06-18,262.59,7367364,SMH
2025-06-20,260.27,11439904,SMH
2025-06-23,261.92,10420123,SMH
2025-06-24,271.54,9035532,SMH
2025-06-25,275.2,8480014,SMH
2025-06-26,277.2,6789034,SMH
2025-06-27,278.42,8170862,SMH
2025-06-30,278.88,6375790,SMH
2025-07-01,275.84,8931315,SMH
2025-07-02,281.25,8713833,SMH
2025-07-03,283.62,4442978,SMH
2025-07-07,279.76,8616432,SMH
2025-07-08,283.48,8186459,SMH
2025-07-09,285.42,6810712,SMH
2025-07-10,287.52,5636246,SMH
2025-07-11,287.49,5676952,SMH
2025-07-14,285.32,7455764,SMH
2025-07-15,290.8,9892534,SMH
2025-07-16,289.28,10065893,SMH
2025-07-17,291.71,6998322,SMH
2025-07-18,290.31,5522542,SMH
2025-07-21,290.51,5910943,SMH
2025-07-22,285.37,11537512,SMH
2025-07-23,286.61,8194570,SMH
2025-07-24,287.8,5902611,SMH
2025-07-25,287.49,4014949,SMH
2025-07-28,291.41,5671906,SMH
2025-07-29,292.9,6968672,SMH
2025-07-30,296.26,7930267,SMH
2025-07-31,288.78,9928055,SMH
2025-08-01,283.95,14032196,SMH
2025-08-04,290.19,5323179,SMH
2025-08-05,287.1,6918330,SMH
2025-08-06,286.62,6124256,SMH
2025-08-07,291.12,8069437,SMH
2025-08-08,293.53,5121579,SMH
2025-08-11,293.4,5799738,SMH
2025-08-12,300.1,7598549,SMH
2025-08-13,301.28,8959735,SMH
2025-08-14,301.92,5826969,SMH
2025-08-15,295.65,9026333,SMH
2025-08-18,296.86,5577455,SMH
2025-08-19,290.87,8191866,SMH
2025-08-20,288.96,10091017,SMH
2025-08-21,287.46,6067701,SMH
2025-08-22,293.64,5810384,SMH
2025-08-25,293.92,4964984,SMH
2025-08-26,296.75,4967051,SMH
2025-08-27,297.66,5646172,SMH
2025-08-28,298.88,7193988,SMH
2025-08-29,290.29,13420941,SMH
